"week","n_events","treatment","spike2019","n_novisad","n_student_events","n_nonstudent_events"
2018-01-01,1,0,0,0,0,1
2018-01-15,1,0,0,0,0,1
2018-01-22,1,0,0,0,1,0
2018-01-29,4,0,0,0,0,4
2018-02-05,2,0,0,0,0,2
2018-02-12,2,0,0,0,0,2
2018-02-19,2,0,0,0,0,2
2018-02-26,1,0,0,0,0,1
2018-03-05,2,0,0,0,0,2
2018-03-12,3,0,0,0,0,3
2018-03-26,4,0,0,0,0,4
2018-04-02,2,0,0,0,0,2
2018-04-09,6,0,0,1,0,6
2018-04-16,4,0,0,0,1,3
2018-04-23,8,0,0,1,0,8
2018-04-30,4,0,0,0,0,4
2018-05-07,4,0,0,0,0,4
2018-05-14,5,0,0,0,0,5
2018-05-21,5,0,0,0,0,5
2018-05-28,4,0,0,0,1,3
2018-06-04,36,0,0,2,0,36
2018-06-11,17,0,0,2,0,17
2018-06-18,4,0,0,0,0,4
2018-06-25,3,0,0,0,0,3
2018-07-09,4,0,0,0,1,3
2018-07-16,2,0,0,0,0,2
2018-07-23,2,0,0,0,0,2
2018-07-30,2,0,0,0,0,2
2018-08-13,1,0,0,0,0,1
2018-08-27,3,0,0,0,0,3
2018-09-03,4,0,0,0,0,4
2018-09-10,4,0,0,0,0,4
2018-09-17,3,0,0,0,1,2
2018-09-24,2,0,0,0,0,2
2018-10-01,8,0,0,0,1,7
2018-10-08,2,0,0,0,0,2
2018-10-15,2,0,0,0,0,2
2018-10-22,4,0,0,0,0,4
2018-10-29,4,0,0,1,1,3
2018-11-05,1,0,0,0,0,1
2018-11-12,4,0,0,0,0,4
2018-11-26,4,0,0,0,0,4
2018-12-03,3,0,1,0,0,3
2018-12-10,4,0,1,0,0,4
2018-12-17,2,0,1,0,0,2
2018-12-24,7,0,1,0,1,6
2018-12-31,7,0,1,1,0,7
2019-01-07,9,0,1,1,0,9
2019-01-14,19,0,1,1,1,18
2019-01-21,29,0,1,1,1,28
2019-01-28,46,0,1,1,1,45
2019-02-04,52,0,1,1,0,52
2019-02-11,49,0,1,1,0,49
2019-02-18,59,0,1,1,1,58
2019-02-25,67,0,1,1,0,67
2019-03-04,64,0,1,1,0,64
2019-03-11,67,0,1,3,1,66
2019-03-18,63,0,1,1,5,58
2019-03-25,59,0,1,1,1,58
2019-04-01,49,0,1,1,0,49
2019-04-08,28,0,1,1,1,27
2019-04-15,27,0,1,1,1,26
2019-04-22,8,0,1,0,0,8
2019-04-29,14,0,1,1,0,14
2019-05-06,20,0,1,2,0,20
2019-05-13,11,0,1,1,1,10
2019-05-20,12,0,1,2,0,12
2019-05-27,10,0,1,0,1,9
2019-06-03,17,0,1,2,1,16
2019-06-10,8,0,1,1,1,7
2019-06-17,11,0,1,0,7,4
2019-06-24,8,0,1,1,0,8
2019-07-01,6,0,1,0,0,6
2019-07-08,6,0,1,0,1,5
2019-07-15,5,0,1,0,2,3
2019-07-22,7,0,1,0,0,7
2019-07-29,5,0,1,0,0,5
2019-08-05,2,0,1,0,0,2
2019-08-12,2,0,1,0,0,2
2019-08-19,4,0,1,0,0,4
2019-08-26,4,0,1,0,0,4
2019-09-02,9,0,1,0,1,8
2019-09-09,6,0,1,0,0,6
2019-09-16,8,0,1,1,1,7
2019-09-23,5,0,1,0,0,5
2019-09-30,16,0,1,2,1,15
2019-10-07,12,0,1,1,0,12
2019-10-14,12,0,1,1,0,12
2019-10-21,4,0,1,1,0,4
2019-10-28,6,0,1,1,0,6
2019-11-04,11,0,1,2,1,10
2019-11-11,6,0,1,2,0,6
2019-11-18,5,0,1,1,2,3
